#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 0.200 EEPS=270
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  81  2.425393  3.9575  3.8036  1.8164  1.1857  0.0561  0.2351  0.4517  0.6535
  82  2.433599  3.9563  3.7931  1.8245  1.1649  0.0353  0.2117  0.4273  0.6278
  83  2.441573  3.9554  3.7819  1.8322  1.1455  0.0148  0.1892  0.4028  0.6020
  84  2.449486  3.9541  3.7714  1.8397  1.1271 -0.0038  0.1673  0.3797  0.5779
  85  2.457209  3.9526  3.7603  1.8465  1.1104 -0.0214  0.1467  0.3573  0.5539
  86  2.464607  3.9512  3.7492  1.8534  1.0939 -0.0384  0.1273  0.3351  0.5301
  87  2.471675  3.9497  3.7379  1.8598  1.0784 -0.0534  0.1083  0.3143  0.5080
  88  2.478503  3.9481  3.7261  1.8651  1.0647 -0.0678  0.0897  0.2931  0.4859
  89  2.485262  3.9456  3.7148  1.8707  1.0524 -0.0799  0.0734  0.2742  0.4652
  90  2.491582  3.9436  3.7036  1.8755  1.0414 -0.0922  0.0576  0.2555  0.4447
  91  2.497667  3.9418  3.6918  1.8803  1.0287 -0.1030  0.0414  0.2359  0.4230
  92  2.503851  3.9399  3.6809  1.8853  1.0159 -0.1145  0.0253  0.2170  0.4022
  93  2.509719  3.9380  3.6693  1.8896  1.0048 -0.1242  0.0102  0.1983  0.3812
  94  2.515646  3.9360  3.6580  1.8937  0.9934 -0.1331 -0.0043  0.1807  0.3610
  95  2.521388  3.9336  3.6464  1.8982  0.9825 -0.1414 -0.0184  0.1622  0.3411
  96  2.526871  3.9314  3.6339  1.9018  0.9703 -0.1508 -0.0331  0.1437  0.3200
  97  2.532148  3.9292  3.6217  1.9062  0.9600 -0.1585 -0.0472  0.1262  0.2998
  98  2.537401  3.9273  3.6089  1.9100  0.9478 -0.1664 -0.0610  0.1079  0.2799
  99  2.542554  3.9247  3.5965  1.9141  0.9361 -0.1745 -0.0750  0.0894  0.2593
 100  2.547704  3.9224  3.5835  1.9182  0.9245 -0.1825 -0.0895  0.0704  0.2373
 101  2.552852  3.9200  3.5708  1.9230  0.9110 -0.1911 -0.1050  0.0515  0.2158
 102  2.557928  3.9174  3.5574  1.9271  0.8976 -0.1998 -0.1202  0.0316  0.1946
 103  2.562863  3.9154  3.5444  1.9317  0.8843 -0.2090 -0.1344  0.0134  0.1734
 104  2.567636  3.9130  3.5317  1.9362  0.8716 -0.2173 -0.1494 -0.0053  0.1524
 105  2.572385  3.9110  3.5187  1.9412  0.8585 -0.2272 -0.1644 -0.0238  0.1313
 106  2.577313  3.9092  3.5075  1.9461  0.8456 -0.2381 -0.1807 -0.0424  0.1108
 107  2.582112  3.9087  3.4998  1.9529  0.8286 -0.2555 -0.1983 -0.0606  0.0920
 108  2.586325  3.9097  3.4970  1.9601  0.8102 -0.2746 -0.2144 -0.0757  0.0779
 109  2.589177  3.9116  3.4987  1.9657  0.7927 -0.2949 -0.2283 -0.0858  0.0702
 110  2.591413  3.9135  3.5041  1.9711  0.7757 -0.3142 -0.2396 -0.0920  0.0662
 111  2.593219  3.9167  3.5105  1.9768  0.7600 -0.3338 -0.2493 -0.0968  0.0649
 112  2.593461  3.9170  3.5122  1.9778  0.7578 -0.3368 -0.2509 -0.0970  0.0648
 113  2.593698  3.9182  3.5142  1.9786  0.7545 -0.3408 -0.2527 -0.0975  0.0648
 114  2.593936  3.9189  3.5156  1.9797  0.7520 -0.3441 -0.2544 -0.0980  0.0652
 115  2.594171  3.9193  3.5175  1.9808  0.7491 -0.3473 -0.2561 -0.0990  0.0656
 116  2.594414  3.9200  3.5187  1.9816  0.7464 -0.3508 -0.2576 -0.0994  0.0656
 117  2.594651  3.9205  3.5209  1.9826  0.7445 -0.3548 -0.2591 -0.0994  0.0659
 118  2.594889  3.9213  3.5231  1.9839  0.7421 -0.3582 -0.2609 -0.0992  0.0665
 119  2.595126  3.9226  3.5253  1.9844  0.7401 -0.3621 -0.2624 -0.0998  0.0676
 120  2.595370  3.9235  3.5276  1.9854  0.7381 -0.3654 -0.2639 -0.0994  0.0679
 121  2.595607  3.9242  3.5298  1.9867  0.7368 -0.3690 -0.2648 -0.0992  0.0691
 122  2.595847  3.9252  3.5323  1.9875  0.7344 -0.3730 -0.2660 -0.0986  0.0700
 123  2.596089  3.9262  3.5346  1.9884  0.7334 -0.3761 -0.2673 -0.0988  0.0710
 124  2.596327  3.9263  3.5364  1.9895  0.7343 -0.3778 -0.2672 -0.0977  0.0722
 125  2.596563  3.9275  3.5394  1.9910  0.7308 -0.3835 -0.2701 -0.0981  0.0730
 126  2.596803  3.9284  3.5417  1.9922  0.7306 -0.3867 -0.2713 -0.0975  0.0742
 127  2.597033  3.9298  3.5453  1.9944  0.7270 -0.3921 -0.2735 -0.0972  0.0753
 128  2.597261  3.9313  3.5483  1.9960  0.7247 -0.3981 -0.2760 -0.0980  0.0760
 129  2.597493  3.9317  3.5504  1.9967  0.7255 -0.4001 -0.2762 -0.0964  0.0777
 130  2.597722  3.9334  3.5548  1.9994  0.7219 -0.4074 -0.2793 -0.0961  0.0791
 131  2.597951  3.9345  3.5574  2.0005  0.7230 -0.4101 -0.2794 -0.0944  0.0813
 132  2.598169  3.9360  3.5625  2.0021  0.7202 -0.4162 -0.2817 -0.0940  0.0840
 133  2.598395  3.9371  3.5657  2.0033  0.7201 -0.4204 -0.2823 -0.0917  0.0865
 134  2.598614  3.9382  3.5696  2.0052  0.7192 -0.4249 -0.2821 -0.0899  0.0899
 135  2.598835  3.9399  3.5735  2.0067  0.7189 -0.4284 -0.2832 -0.0870  0.0931
 136  2.599046  3.9411  3.5769  2.0085  0.7189 -0.4318 -0.2830 -0.0849  0.0962
 137  2.599254  3.9427  3.5803  2.0110  0.7179 -0.4346 -0.2831 -0.0831  0.0990
 138  2.599457  3.9442  3.5843  2.0124  0.7155 -0.4384 -0.2839 -0.0811  0.1016
 139  2.599637  3.9457  3.5880  2.0148  0.7119 -0.4432 -0.2850 -0.0796  0.1035
 140  2.599826  3.9472  3.5930  2.0172  0.7068 -0.4477 -0.2859 -0.0763  0.1068
 141  2.599997  3.9496  3.5987  2.0199  0.7017 -0.4529 -0.2861 -0.0740  0.1108
 142  2.600153  3.9512  3.6042  2.0229  0.6961 -0.4609 -0.2855 -0.0687  0.1166
 143  2.600285  3.9535  3.6091  2.0258  0.6891 -0.4707 -0.2859 -0.0638  0.1226
 144  2.600408  3.9555  3.6144  2.0290  0.6818 -0.4801 -0.2866 -0.0588  0.1285
 145  2.600510  3.9578  3.6195  2.0326  0.6740 -0.4911 -0.2866 -0.0534  0.1353
 146  2.600597  3.9600  3.6254  2.0360  0.6635 -0.5000 -0.2873 -0.0492  0.1402
 147  2.600678  3.9618  3.6298  2.0387  0.6556 -0.5057 -0.2866 -0.0457  0.1450
 148  2.600638  3.9626  3.6284  2.0432  0.6447 -0.5134 -0.2916 -0.0495  0.1398
 149  2.600648  3.9701  3.6283  2.0734  0.5611 -0.5949 -0.3489 -0.0953  0.0998
 150  2.600753  3.9851  3.6334  2.1272  0.4027 -0.7510 -0.4570 -0.1785  0.0284
 151  2.601082  3.9956  3.6558  2.1478  0.3345 -0.8172 -0.4906 -0.1930  0.0228
 152  2.601143  3.9960  3.6619  2.1425  0.3441 -0.8080 -0.4817 -0.1842  0.0336
 153  2.601173  3.9963  3.6685  2.1386  0.3503 -0.8026 -0.4761 -0.1771  0.0423
 154  2.601195  3.9971  3.6745  2.1345  0.3585 -0.7951 -0.4692 -0.1695  0.0520
 155  2.601196  3.9984  3.6832  2.1320  0.3594 -0.7957 -0.4659 -0.1637  0.0609
 156  2.601148  4.0044  3.7136  2.1256  0.3564 -0.7983 -0.4486 -0.1357  0.0975
 157  2.601062  4.0121  3.7694  2.0993  0.3997 -0.7514 -0.3787 -0.0526  0.1902
 158  2.600972  4.0178  3.8292  2.0632  0.4633 -0.6812 -0.2891  0.0459  0.2978
 159  2.600888  4.0201  3.8861  2.0148  0.5637 -0.5712 -0.1751  0.1626  0.4182
 160  2.600847  4.0143  3.9089  1.9705  0.6641 -0.4571 -0.0830  0.2410  0.4937
 161  2.600835  4.0055  3.8798  1.9636  0.6753 -0.4340 -0.0906  0.2143  0.4596
 162  2.600239  4.0219  3.9243  1.9844  0.5380 -0.5438 -0.1393  0.1937  0.4590
 163  2.599621  4.0299  3.9321  2.0093  0.3946 -0.6550 -0.2108  0.1374  0.4151
 164  2.598979  4.0305  3.9031  2.0391  0.2538 -0.7578 -0.3019  0.0464  0.3267
 165  2.598438  4.0223  3.8433  2.0665  0.1432 -0.8304 -0.3937 -0.0612  0.2114
 166  2.598001  4.0103  3.7727  2.0887  0.0596 -0.8801 -0.4738 -0.1622  0.0991
 167  2.597659  3.9971  3.7037  2.1058 -0.0150 -0.9149 -0.5353 -0.2454  0.0038
 168  2.597386  3.9847  3.6391  2.1198 -0.0819 -0.9265 -0.5872 -0.3224 -0.0860
