objid,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
1237671262272291000,132.884125579824,11.7819981752576,24.63465,16.79799,15.9008,15.57962,15.40662,0.6040394,0.004442037,0.003769954,0.004334265,0.005552616
1237671262272291000,132.884893913853,11.7793376393957,16.6111,15.13822,15.65603,14.48177,14.44404,0.007716778,0.004043471,0.01277482,0.004994498,0.0058173
1237671262272291000,132.868071342084,11.7803944131284,17.53043,15.6944,15.70712,14.71903,14.63974,0.01125378,0.004510375,0.01291083,0.005045571,0.006114066
1237671262272291000,132.874568748466,11.7880020286864,16.33524,13.72502,12.64571,11.47971,8.292419,0.01717182,0.01020109,0.008495049,0.01030661,0.0005444406
1237670964308476200,132.801086916156,11.7725237124543,15.12579,13.82144,14.57068,14.18589,13.35487,0.004710419,0.003385559,0.01134109,0.01142586,0.004808769
1237671262272291000,132.829905649836,11.7985095243089,15.88308,15.31512,15.30868,14.46046,14.05705,0.008200487,0.01693972,0.01228785,0.01329142,0.006880022
1237671262272291000,132.81148119567,11.7899889900304,15.30811,15.5375,15.33619,14.75659,13.85557,0.009591345,0.01232375,0.01157555,0.0119932,0.009371088
1237671262272291000,132.822256618344,11.7835016638969,15.65233,15.39057,15.41882,14.92905,13.89635,0.009863333,0.01472157,0.0130301,0.01412345,0.009005268
1237671262272291000,132.814344796819,11.7920622930628,15.54364,14.99927,14.73315,14.45643,13.87328,0.01087984,0.01256703,0.01151927,0.01343454,0.009649609
1237670964308476200,132.784905257102,11.7866935588431,15.45964,14.88665,14.57488,14.43781,12.82243,0.005533982,0.01160324,0.01041362,0.01080283,0.006018982
1237670964308476200,132.80088491701,11.7874462305572,17.1522,15.50971,14.88524,14.6831,14.64235,0.008236995,0.003221504,0.003531868,0.003631384,0.004316628
1237671125370339600,132.806667608588,11.8438943369677,14.68436,14.3645,13.79653,14.2101,12.69259,0.004769259,0.009755182,0.009525004,0.009998836,0.004913282
1237671125370339600,132.810119031274,11.8445148693734,14.88923,13.63793,13.55893,15.65132,13.16678,0.003915713,0.003017036,0.01015322,0.01313084,0.003540467
1237671125370339600,132.820235023319,11.8274095413456,19.13181,16.84686,15.80754,15.52977,15.1832,0.02298627,0.004109935,0.003529851,0.003855689,0.004841997
1237671125370339600,132.820731741635,11.835928919489,14.80969,14.41638,13.96281,15.12774,13.16706,0.003998571,0.0103378,0.01037195,0.01191644,0.003867914
1237671125370339600,132.823911813172,11.8348723166904,14.96725,13.75455,13.61384,15.88151,13.26806,0.003937589,0.003013574,0.01026511,0.01356876,0.003522961
1237671125370339600,132.820965804609,11.8462194374066,15.19444,14.15527,13.555,13.19976,12.70395,0.006774197,0.0111926,0.009263367,0.008816088,0.01213597
1237671125370339600,132.827375285842,11.8371938972707,18.25306,16.16063,15.26277,15.08262,14.81885,0.01478807,0.003614191,0.003107755,0.003615546,0.004452949
1237671125370339600,132.826066739733,11.8387813527575,15.84141,14.57427,14.14559,14.03407,13.90314,0.005033698,0.003068078,0.003071331,0.003274169,0.003681445
1237671125370339600,132.813906566885,11.8373048026618,14.65047,14.60741,14.20757,15.07805,12.96378,0.004167337,0.01057631,0.01070381,0.01277094,0.004246796
1237671125370339600,132.832857089774,11.8104342314372,19.4632,17.40442,16.58002,16.25873,16.13262,0.02818341,0.004843197,0.004097521,0.004131982,0.007037976
1237671125370339600,132.845445700647,11.8137062960433,14.6852,14.40829,14.0121,14.71007,13.03274,0.004502591,0.009857253,0.009912074,0.01101766,0.004714787
1237671125370339600,132.830079190772,11.8234200459841,15.30731,14.07719,13.71413,14.90374,13.5643,0.00425516,0.002960301,0.002959486,0.01139219,0.003533629
1237671125370339600,132.827226154244,11.8226236464477,14.83877,14.45756,14.16068,15.01857,13.07728,0.004678125,0.009824365,0.009848503,0.01269252,0.005018164
1237671125370339600,132.840057454946,11.8173456504596,17.18085,15.5893,15.01523,14.82221,14.70437,0.00861973,0.003297317,0.003214122,0.003342608,0.004233652
1237671125370339600,132.832011142307,11.8275164954142,17.82228,16.09002,15.44038,15.28275,15.09156,0.0115845,0.003506657,0.003351024,0.003635033,0.004670679
1237671125370339600,132.833833715815,11.8397642867796,15.39969,14.1716,13.80474,15.24096,13.64815,0.00436877,0.002984476,0.002995886,0.01177271,0.003521618
1237671125370339600,132.829206993171,11.8349116022859,14.67533,14.70118,14.34907,15.02264,12.95212,0.004560622,0.01014582,0.01026229,0.01301015,0.004921861
1237671125370339600,132.785411044853,11.8256468703733,24.6347,25.1144,24.80206,24.36183,15.90645,4.907193,5.86163,7.189681,6.319279,0.009936197
1237671125370339600,132.783962870417,11.8290439993477,17.69295,15.93072,15.30968,15.08863,15.01714,0.01104466,0.003443236,0.003240431,0.003338363,0.004581405
1237671125370339600,132.784901645035,11.835485214257,15.05278,13.79848,13.42541,16.09875,13.29851,0.004005335,0.002978075,0.002941677,0.01392391,0.003437771
