#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 4.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  92  1.107434  3.7865  4.3236  0.2585  5.6125  4.3577  3.9731  3.9009  3.9196
  93  1.109143  3.7870  4.3213  0.2631  5.5970  4.3452  3.9615  3.8896  3.9085
  94  1.110797  3.7873  4.3190  0.2678  5.5820  4.3329  3.9500  3.8785  3.8977
  95  1.112417  3.7878  4.3167  0.2723  5.5674  4.3209  3.9388  3.8675  3.8870
  96  1.114034  3.7881  4.3144  0.2768  5.5531  4.3089  3.9275  3.8566  3.8763
  97  1.115682  3.7885  4.3120  0.2813  5.5390  4.2971  3.9162  3.8455  3.8656
  98  1.117416  3.7889  4.3095  0.2859  5.5247  4.2849  3.9047  3.8343  3.8545
  99  1.119303  3.7893  4.3070  0.2907  5.5099  4.2722  3.8926  3.8225  3.8431
 100  1.121428  3.7896  4.3042  0.2957  5.4943  4.2588  3.8797  3.8099  3.8307
 101  1.123934  3.7900  4.3013  0.3013  5.4774  4.2441  3.8655  3.7960  3.8171
 102  1.127056  3.7905  4.2977  0.3079  5.4581  4.2270  3.8490  3.7799  3.8013
 103  1.131373  3.7910  4.2930  0.3164  5.4339  4.2053  3.8278  3.7591  3.7810
 104  1.139419  3.7915  4.2834  0.3310  5.3939  4.1674  3.7908  3.7227  3.7449
 105  1.229030  3.7892  4.1362  0.5014  4.9688  3.7377  3.3700  3.3014  3.3224
 106  1.230382  3.7895  4.1332  0.5061  4.9558  3.7254  3.3580  3.2899  3.3111
 107  1.231626  3.7899  4.1306  0.5106  4.9427  3.7132  3.3461  3.2784  3.3001
 108  1.232647  3.7901  4.1278  0.5149  4.9314  3.7022  3.3352  3.2679  3.2899
 109  1.233484  3.7905  4.1257  0.5189  4.9198  3.6914  3.3245  3.2578  3.2801
 110  1.234278  3.7909  4.1235  0.5229  4.9089  3.6809  3.3142  3.2479  3.2706
 111  1.235012  3.7913  4.1216  0.5268  4.8980  3.6704  3.3038  3.2380  3.2612
 112  1.236058  3.7920  4.1185  0.5329  4.8810  3.6542  3.2878  3.2229  3.2468
 113  1.236898  3.7926  4.1156  0.5387  4.8643  3.6383  3.2721  3.2082  3.2327
 114  1.237634  3.7933  4.1130  0.5446  4.8477  3.6225  3.2567  3.1937  3.2189
 115  1.238264  3.7941  4.1103  0.5503  4.8287  3.6062  3.2422  3.1803  3.2063
 116  1.238783  3.7948  4.1076  0.5559  4.8090  3.5899  3.2282  3.1674  3.1942
 117  1.239239  3.7955  4.1051  0.5615  4.7894  3.5737  3.2145  3.1548  3.1825
 118  1.239662  3.7962  4.1025  0.5669  4.7697  3.5576  3.2011  3.1424  3.1708
 119  1.240032  3.7968  4.1000  0.5723  4.7502  3.5417  3.1878  3.1302  3.1594
 120  1.240344  3.7975  4.0972  0.5777  4.7310  3.5260  3.1748  3.1183  3.1482
 121  1.240614  3.7981  4.0946  0.5830  4.7122  3.5105  3.1619  3.1064  3.1370
 122  1.240845  3.7986  4.0916  0.5881  4.6940  3.4953  3.1493  3.0947  3.1260
 123  1.241059  3.7992  4.0887  0.5934  4.6759  3.4802  3.1367  3.0830  3.1150
 124  1.241259  3.7997  4.0856  0.5985  4.6584  3.4654  3.1241  3.0714  3.1040
 125  1.241455  3.8002  4.0825  0.6036  4.6411  3.4507  3.1117  3.0597  3.0928
 126  1.241666  3.8006  4.0791  0.6089  4.6245  3.4362  3.0991  3.0479  3.0816
 127  1.241949  3.8009  4.0752  0.6140  4.6092  3.4220  3.0862  3.0356  3.0696
 128  1.242493  3.8008  4.0694  0.6195  4.5966  3.4084  3.0725  3.0218  3.0557
 129  1.244027  3.8000  4.0603  0.6258  4.5882  3.3948  3.0561  3.0044  3.0375
 130  1.247092  3.7994  4.0520  0.6328  4.5772  3.3795  3.0385  2.9860  3.0185
 131  1.250411  3.7989  4.0440  0.6400  4.5637  3.3626  3.0201  2.9670  2.9991
 132  1.253622  3.7987  4.0368  0.6473  4.5480  3.3449  3.0018  2.9484  2.9802
 133  1.256598  3.7984  4.0300  0.6545  4.5319  3.3273  2.9838  2.9303  2.9620
 134  1.259325  3.7980  4.0238  0.6598  4.5223  3.3149  2.9700  2.9160  2.9472
 135  1.261820  3.7969  4.0152  0.6650  4.5199  3.3055  2.9567  2.9012  2.9314
 136  1.264081  3.7961  4.0064  0.6710  4.5128  3.2930  2.9411  2.8845  2.9137
 137  1.266452  3.7951  3.9977  0.6768  4.5065  3.2811  2.9263  2.8683  2.8966
 138  1.268828  3.7944  3.9897  0.6823  4.4999  3.2698  2.9125  2.8534  2.8807
 139  1.271083  3.7936  3.9817  0.6882  4.4913  3.2572  2.8979  2.8378  2.8643
 140  1.273210  3.7929  3.9740  0.6938  4.4821  3.2447  2.8837  2.8226  2.8485
 141  1.275211  3.7922  3.9663  0.6997  4.4695  3.2312  2.8701  2.8081  2.8332
 142  1.277098  3.7916  3.9585  0.7056  4.4565  3.2174  2.8562  2.7934  2.8177
 143  1.278875  3.7911  3.9507  0.7118  4.4421  3.2026  2.8416  2.7780  2.8017
 144  1.280543  3.7906  3.9448  0.7164  4.4318  3.1917  2.8310  2.7665  2.7897
 145  1.282109  3.7901  3.9396  0.7200  4.4237  3.1834  2.8226  2.7574  2.7800
 146  1.283570  3.7896  3.9344  0.7238  4.4151  3.1747  2.8139  2.7481  2.7701
 147  1.284960  3.7890  3.9289  0.7274  4.4078  3.1668  2.8059  2.7391  2.7604
 148  1.286291  3.7885  3.9239  0.7307  4.4010  3.1596  2.7986  2.7310  2.7516
 149  1.287572  3.7878  3.9187  0.7336  4.3962  3.1537  2.7921  2.7234  2.7433
 150  1.288808  3.7872  3.9138  0.7364  4.3922  3.1482  2.7858  2.7161  2.7351
 151  1.290006  3.7864  3.9087  0.7391  4.3897  3.1435  2.7797  2.7089  2.7272
 152  1.291169  3.7858  3.9036  0.7416  4.3921  3.1402  2.7730  2.7011  2.7184
 153  1.292305  3.7849  3.8986  0.7439  4.3982  3.1382  2.7661  2.6930  2.7094
 154  1.293413  3.7841  3.8933  0.7460  4.4072  3.1374  2.7595  2.6850  2.7003
 155  1.294500  3.7832  3.8885  0.7479  4.4162  3.1369  2.7532  2.6775  2.6918
 156  1.295568  3.7824  3.8838  0.7495  4.4261  3.1369  2.7474  2.6704  2.6838
 157  1.296617  3.7814  3.8791  0.7510  4.4377  3.1378  2.7419  2.6636  2.6759
 158  1.297656  3.7805  3.8744  0.7524  4.4501  3.1392  2.7369  2.6571  2.6684
 159  1.298685  3.7796  3.8699  0.7536  4.4630  3.1412  2.7323  2.6513  2.6613
 160  1.299703  3.7786  3.8653  0.7547  4.4755  3.1433  2.7286  2.6460  2.6550
 161  1.300706  3.7776  3.8603  0.7555  4.4868  3.1457  2.7260  2.6417  2.6494
 162  1.303668  3.7743  3.8461  0.7578  4.5185  3.1530  2.7204  2.6310  2.6348
 163  1.306480  3.7709  3.8331  0.7578  4.5583  3.1670  2.7212  2.6264  2.6261
 164  1.309144  3.7671  3.8214  0.7554  4.6104  3.1885  2.7275  2.6270  2.6223
 165  1.311548  3.7631  3.8112  0.7504  4.6751  3.2188  2.7411  2.6342  2.6246
 166  1.313637  3.7589  3.8027  0.7429  4.7507  3.2571  2.7615  2.6478  2.6333
 167  1.315436  3.7547  3.7959  0.7333  4.8357  3.3001  2.7872  2.6670  2.6473
 168  1.317005  3.7505  3.7904  0.7226  4.9272  3.3462  2.8164  2.6899  2.6653
 169  1.318418  3.7464  3.7859  0.7111  5.0202  3.3955  2.8480  2.7150  2.6853
 170  1.319737  3.7422  3.7817  0.6991  5.1147  3.4472  2.8812  2.7415  2.7065
 171  1.321021  3.7381  3.7774  0.6872  5.2132  3.5003  2.9156  2.7688  2.7285
 172  1.322339  3.7337  3.7725  0.6750  5.3169  3.5552  2.9507  2.7968  2.7508
 173  1.323810  3.7290  3.7658  0.6633  5.4287  3.6124  2.9860  2.8240  2.7719
 174  1.325541  3.7238  3.7538  0.6551  5.5424  3.6644  3.0140  2.8431  2.7842
 175  1.327361  3.7188  3.7363  0.6532  5.6404  3.7010  3.0273  2.8476  2.7817
 176  1.329213  3.7140  3.7148  0.6565  5.7212  3.7234  3.0278  2.8398  2.7674
 177  1.330975  3.7104  3.6919  0.6652  5.7706  3.7265  3.0136  2.8189  2.7412
 178  1.332509  3.7077  3.6703  0.6768  5.7926  3.7151  2.9903  2.7907  2.7093
 179  1.333870  3.7058  3.6501  0.6897  5.7996  3.6963  2.9627  2.7595  2.6753
 180  1.335116  3.7043  3.6310  0.7031  5.7966  3.6732  2.9329  2.7268  2.6402
 181  1.336283  3.7030  3.6125  0.7168  5.7879  3.6477  2.9018  2.6933  2.6049
 182  1.337523  3.7018  3.5927  0.7323  5.7726  3.6172  2.8662  2.6555  2.5652
 183  1.338744  3.7007  3.5725  0.7485  5.7531  3.5842  2.8285  2.6158  2.5238
 184  1.339944  3.6997  3.5522  0.7653  5.7296  3.5488  2.7891  2.5745  2.4811
 185  1.341125  3.6988  3.5316  0.7827  5.7022  3.5117  2.7481  2.5319  2.4370
 186  1.342287  3.6980  3.5108  0.8005  5.6720  3.4728  2.7059  2.4880  2.3917
 187  1.343429  3.6972  3.4896  0.8187  5.6407  3.4332  2.6627  2.4432  2.3455
 188  1.344549  3.6964  3.4681  0.8375  5.6078  3.3921  2.6181  2.3971  2.2981
 189  1.345646  3.6955  3.4461  0.8566  5.5736  3.3501  2.5726  2.3500  2.2496
 190  1.346719  3.6947  3.4236  0.8762  5.5383  3.3069  2.5260  2.3018  2.2001
 191  1.347767  3.6939  3.4007  0.8962  5.5020  3.2626  2.4782  2.2524  2.1493
 192  1.348790  3.6932  3.3771  0.9169  5.4646  3.2171  2.4291  2.2017  2.0973
 193  1.349793  3.6924  3.3531  0.9379  5.4262  3.1703  2.3788  2.1496  2.0438
 194  1.350772  3.6916  3.3285  0.9596  5.3867  3.1223  2.3270  2.0964  1.9891
 195  1.351727  3.6908  3.3033  0.9817  5.3464  3.0732  2.2742  2.0418  1.9331
 196  1.352657  3.6899  3.2774  1.0045  5.3067  3.0230  2.2201  1.9859  1.8758
 197  1.353560  3.6890  3.2508  1.0277  5.2666  2.9717  2.1648  1.9287  1.8172
 198  1.354437  3.6881  3.2239  1.0515  5.2253  2.9192  2.1082  1.8702  1.7572
 199  1.355285  3.6872  3.1960  1.0758  5.1844  2.8660  2.0504  1.8106  1.6960
 200  1.356108  3.6861  3.1674  1.1006  5.1447  2.8123  1.9920  1.7499  1.6336
 201  1.356897  3.6852  3.1385  1.1260  5.1009  2.7562  1.9316  1.6875  1.5696
 202  1.357658  3.6842  3.1088  1.1518  5.0589  2.7000  1.8705  1.6241  1.5045
 203  1.358391  3.6831  3.0786  1.1780  5.0166  2.6430  1.8084  1.5598  1.4384
 204  1.359099  3.6819  3.0473  1.2046  4.9779  2.5867  1.7462  1.4948  1.3715
 205  1.359778  3.6807  3.0159  1.2316  4.9362  2.5287  1.6826  1.4287  1.3034
 206  1.360430  3.6794  2.9838  1.2590  4.8957  2.4705  1.6185  1.3619  1.2344
 207  1.361054  3.6782  2.9515  1.2867  4.8538  2.4113  1.5533  1.2940  1.1646
 208  1.361651  3.6769  2.9181  1.3149  4.8146  2.3524  1.4878  1.2255  1.0940
 209  1.362218  3.6757  2.8850  1.3434  4.7714  2.2914  1.4208  1.1558  1.0222
 210  1.362760  3.6743  2.8510  1.3722  4.7311  2.2309  1.3536  1.0856  0.9497
 211  1.363278  3.6727  2.8158  1.4012  4.6968  2.1726  1.2872  1.0154  0.8768
 212  1.363775  3.6713  2.7809  1.4304  4.6589  2.1125  1.2198  0.9447  0.8036
 213  1.364248  3.6698  2.7456  1.4598  4.6217  2.0523  1.1522  0.8735  0.7297
 214  1.364701  3.6683  2.7104  1.4892  4.5851  1.9925  1.0848  0.8024  0.6561
 215  1.365136  3.6667  2.6746  1.5188  4.5498  1.9328  1.0171  0.7311  0.5818
 216  1.365554  3.6651  2.6380  1.5490  4.5143  1.8720  0.9482  0.6582  0.5062
 217  1.365616  3.6649  2.6326  1.5535  4.5093  1.8632  0.9381  0.6475  0.4950
 218  1.365678  3.6646  2.6273  1.5580  4.5041  1.8542  0.9280  0.6367  0.4839
 219  1.365741  3.6644  2.6218  1.5624  4.4992  1.8454  0.9178  0.6261  0.4727
 220  1.365803  3.6641  2.6164  1.5669  4.4941  1.8365  0.9077  0.6153  0.4616
 221  1.365864  3.6639  2.6111  1.5713  4.4892  1.8276  0.8976  0.6047  0.4504
 222  1.365927  3.6637  2.6057  1.5758  4.4842  1.8188  0.8876  0.5940  0.4394
 223  1.365989  3.6634  2.6003  1.5802  4.4792  1.8101  0.8776  0.5834  0.4283
 224  1.366050  3.6632  2.5949  1.5846  4.4746  1.8014  0.8676  0.5729  0.4173
 225  1.366112  3.6630  2.5897  1.5890  4.4697  1.7927  0.8578  0.5623  0.4063
 226  1.366174  3.6627  2.5842  1.5933  4.4652  1.7842  0.8479  0.5519  0.3955
 227  1.366764  3.6607  2.5398  1.6301  4.4247  1.7115  0.7647  0.4638  0.3038
 228  1.367315  3.6607  2.5359  1.6344  4.4130  1.7001  0.7537  0.4527  0.2928
 229  1.367914  3.6626  2.5711  1.6064  4.4371  1.7530  0.8159  0.5195  0.3626
 230  1.368604  3.6615  2.5407  1.6327  4.3997  1.6975  0.7549  0.4558  0.2971
 231  1.369255  3.6578  2.4661  1.6929  4.3447  1.5830  0.6207  0.3121  0.1468
 232  1.369825  3.6543  2.3944  1.7506  4.2950  1.4749  0.4931  0.1751  0.0031
 233  1.370330  3.6507  2.3239  1.8071  4.2499  1.3712  0.3695  0.0417 -0.1370
 234  1.370768  3.6473  2.2565  1.8608  4.2099  1.2741  0.2530 -0.0846 -0.2702
 235  1.371167  3.6437  2.1883  1.9150  4.1732  1.1783  0.1371 -0.2114 -0.4040
 236  1.371512  3.6402  2.1222  1.9673  4.1408  1.0873  0.0263 -0.3330 -0.5328
 237  1.371821  3.6367  2.0570  2.0186  4.1119  1.0000 -0.0808 -0.4517 -0.6590
 238  1.372097  3.6332  1.9924  2.0693  4.0863  0.9156 -0.1848 -0.5682 -0.7834
 239  1.372344  3.6297  1.9286  2.1189  4.0655  0.8356 -0.2845 -0.6811 -0.9050
 240  1.372564  3.6262  1.8659  2.1673  4.0472  0.7591 -0.3798 -0.7907 -1.0236
 241  1.372762  3.6226  1.8048  2.2145  4.0300  0.6861 -0.4707 -0.8967 -1.1391
 242  1.372939  3.6191  1.7446  2.2607  4.0138  0.6166 -0.5574 -0.9994 -1.2519
 243  1.373099  3.6157  1.6854  2.3061  3.9985  0.5503 -0.6400 -1.0993 -1.3626
 244  1.373243  3.6122  1.6277  2.3502  3.9838  0.4879 -0.7175 -1.1953 -1.4700
 245  1.373374  3.6089  1.5707  2.3937  3.9686  0.4279 -0.7916 -1.2891 -1.5760
 246  1.373492  3.6055  1.5154  2.4359  3.9540  0.3720 -0.8600 -1.3789 -1.6787
 247  1.373599  3.6022  1.4607  2.4772  3.9415  0.3205 -0.9228 -1.4655 -1.7791
 248  1.373696  3.5989  1.4074  2.5175  3.9310  0.2738 -0.9793 -1.5482 -1.8771
 249  1.373786  3.5957  1.3549  2.5569  3.9195  0.2304 -1.0316 -1.6283 -1.9730
 250  1.373868  3.5925  1.3035  2.5955  3.9060  0.1897 -1.0803 -1.7058 -2.0663
 251  1.373943  3.5893  1.2537  2.6330  3.8895  0.1517 -1.1259 -1.7802 -2.1565
 252  1.374012  3.5862  1.2044  2.6698  3.8721  0.1171 -1.1670 -1.8522 -2.2449
 253  1.374074  3.5831  1.1562  2.7057  3.8551  0.0865 -1.2020 -1.9208 -2.3309
 254  1.374132  3.5801  1.1092  2.7407  3.8387  0.0597 -1.2305 -1.9863 -2.4146
 255  1.374186  3.5771  1.0629  2.7750  3.8228  0.0358 -1.2533 -2.0492 -2.4967
 256  1.374236  3.5742  1.0177  2.8084  3.8073  0.0166 -1.2687 -2.1086 -2.5762
 257  1.374283  3.5712  0.9733  2.8410  3.7918  0.0020 -1.2775 -2.1650 -2.6536
 258  1.374326  3.5683  0.9298  2.8730  3.7768 -0.0076 -1.2789 -2.2180 -2.7286
 259  1.374365  3.5654  0.8873  2.9040  3.7620 -0.0124 -1.2727 -2.2679 -2.8017
 260  1.374402  3.5626  0.8456  2.9344  3.7481 -0.0123 -1.2607 -2.3143 -2.8721
 261  1.374438  3.5598  0.8047  2.9640  3.7359 -0.0065 -1.2428 -2.3567 -2.9399
 262  1.374470  3.5570  0.7648  2.9930  3.7245  0.0045 -1.2186 -2.3956 -3.0048
 263  1.374501  3.5543  0.7254  3.0214  3.7184  0.0209 -1.1913 -2.4309 -3.0671
 264  1.374529  3.5517  0.6869  3.0490  3.7123  0.0435 -1.1552 -2.4619 -3.1262
 265  1.374556  3.5490  0.6492  3.0761  3.7049  0.0729 -1.1072 -2.4889 -3.1828
