#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE=10.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
 148  1.006839  3.7566  4.1113  0.3095  5.8759  4.3559  3.8433  3.7256  3.7087
 149  1.008199  3.7562  4.1036  0.3160  5.8662  4.3417  3.8274  3.7091  3.6916
 150  1.009563  3.7557  4.0956  0.3224  5.8577  4.3278  3.8115  3.6925  3.6742
 151  1.010930  3.7551  4.0874  0.3290  5.8505  4.3141  3.7956  3.6756  3.6568
 152  1.012310  3.7544  4.0788  0.3355  5.8443  4.3006  3.7798  3.6588  3.6392
 153  1.013699  3.7536  4.0697  0.3419  5.8404  4.2878  3.7640  3.6419  3.6213
 154  1.015102  3.7527  4.0601  0.3485  5.8386  4.2755  3.7482  3.6249  3.6032
 155  1.016534  3.7516  4.0501  0.3550  5.8396  4.2639  3.7327  3.6078  3.5850
 156  1.018001  3.7504  4.0392  0.3613  5.8440  4.2535  3.7175  3.5908  3.5664
 157  1.019518  3.7488  4.0272  0.3677  5.8537  4.2448  3.7027  3.5738  3.5476
 158  1.021105  3.7468  4.0138  0.3737  5.8698  4.2394  3.6891  3.5571  3.5283
 159  1.022780  3.7442  3.9985  0.3792  5.8974  4.2392  3.6776  3.5413  3.5093
 160  1.024487  3.7407  3.9812  0.3834  5.9420  4.2474  3.6705  3.5284  3.4919
 161  1.026037  3.7366  3.9634  0.3854  6.0054  4.2650  3.6699  3.5211  3.4792
 162  1.027220  3.7327  3.9488  0.3848  6.0736  4.2886  3.6759  3.5205  3.4736
 163  1.028391  3.7280  3.9318  0.3836  6.1595  4.3195  3.6851  3.5217  3.4687
 164  1.029549  3.7225  3.9124  0.3817  6.2641  4.3582  3.6982  3.5254  3.4651
 165  1.030707  3.7164  3.8891  0.3808  6.3815  4.3996  3.7111  3.5276  3.4588
 166  1.031871  3.7101  3.8613  0.3840  6.4962  4.4343  3.7162  3.5209  3.4435
 167  1.032968  3.7046  3.8302  0.3936  6.5827  4.4490  3.7047  3.4991  3.4136
 168  1.033925  3.7005  3.7991  0.4089  6.6262  4.4400  3.6766  3.4633  3.3718
 169  1.034756  3.6977  3.7700  0.4269  6.6352  4.4162  3.6395  3.4207  3.3246
 170  1.035507  3.6955  3.7428  0.4458  6.6248  4.3841  3.5978  3.3749  3.2755
 171  1.036206  3.6940  3.7170  0.4655  6.6036  4.3467  3.5532  3.3272  3.2253
 172  1.036868  3.6927  3.6921  0.4856  6.5756  4.3059  3.5069  3.2783  3.1742
 173  1.037505  3.6917  3.6681  0.5060  6.5425  4.2628  3.4592  3.2286  3.1228
 174  1.038123  3.6908  3.6445  0.5265  6.5061  4.2178  3.4107  3.1783  3.0711
 175  1.038727  3.6901  3.6213  0.5470  6.4675  4.1716  3.3614  3.1277  3.0193
 176  1.039320  3.6895  3.5985  0.5676  6.4271  4.1245  3.3119  3.0768  2.9674
 177  1.039906  3.6890  3.5761  0.5882  6.3852  4.0769  3.2620  3.0260  2.9157
 178  1.040485  3.6885  3.5538  0.6088  6.3426  4.0287  3.2121  2.9751  2.8640
 179  1.041059  3.6881  3.5317  0.6294  6.2992  3.9805  3.1622  2.9242  2.8123
 180  1.041627  3.6877  3.5098  0.6500  6.2554  3.9320  3.1121  2.8733  2.7607
 181  1.042185  3.6873  3.4877  0.6705  6.2114  3.8834  3.0620  2.8223  2.7091
