#NUMBER OF AGES= 1 MAGS= 5
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2734 1.8453E-02 1.8453E-02   0.06   0.00 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)
#----------------------------------------------------       
#AGE= 9.000 EEPS=268
#EEP   M/Mo    LogTeff  LogG   LogL/Lo sdss_u  sdss_g  sdss_r  sdss_i  sdss_z
  96  0.937429  3.7514  4.3831 -0.0141  6.7893  5.1926  4.6513  4.5260  4.5037
  97  0.940436  3.7522  4.3774 -0.0040  6.7509  5.1635  4.6256  4.5015  4.4801
  98  0.943386  3.7529  4.3717  0.0060  6.7136  5.1350  4.6004  4.4774  4.4568
  99  0.946296  3.7536  4.3660  0.0157  6.6774  5.1071  4.5756  4.4537  4.4339
 100  0.949166  3.7543  4.3604  0.0255  6.6418  5.0796  4.5512  4.4303  4.4112
 101  0.952003  3.7549  4.3547  0.0350  6.6074  5.0527  4.5271  4.4071  4.3888
 102  0.954816  3.7555  4.3489  0.0445  6.5739  5.0263  4.5034  4.3843  4.3667
 103  0.957609  3.7561  4.3431  0.0537  6.5411  5.0003  4.4799  4.3617  4.3447
 104  0.960383  3.7566  4.3374  0.0629  6.5094  4.9748  4.4568  4.3393  4.3231
 105  0.963144  3.7571  4.3315  0.0721  6.4784  4.9496  4.4340  4.3173  4.3016
 106  0.965882  3.7576  4.3256  0.0810  6.4483  4.9249  4.4114  4.2955  4.2802
 107  0.968586  3.7580  4.3198  0.0899  6.4190  4.9006  4.3891  4.2739  4.2591
 108  0.971234  3.7584  4.3138  0.0987  6.3905  4.8767  4.3672  4.2525  4.2383
 109  0.973795  3.7588  4.3079  0.1073  6.3627  4.8533  4.3456  4.2315  4.2177
 110  0.976246  3.7592  4.3020  0.1157  6.3353  4.8303  4.3243  4.2108  4.1976
 111  0.978614  3.7596  4.2963  0.1241  6.3085  4.8077  4.3035  4.1906  4.1777
 112  0.980161  3.7598  4.2924  0.1295  6.2910  4.7928  4.2896  4.1771  4.1645
 113  0.981708  3.7601  4.2885  0.1352  6.2734  4.7778  4.2757  4.1636  4.1512
 114  0.983253  3.7603  4.2844  0.1408  6.2557  4.7627  4.2617  4.1499  4.1378
 115  0.984795  3.7605  4.2803  0.1464  6.2381  4.7474  4.2476  4.1360  4.1242
 116  0.986338  3.7607  4.2761  0.1521  6.2205  4.7323  4.2333  4.1222  4.1105
